Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
123.84,2306.666662693,2410.8552837372,2571.4867019653,,,,106.16,3248.1542867422,3086.5931594372,2890.2614784241,,
124.52,2307.0511126518,2411.3988780975,2572.7684402466,,,,105.48,3248.6235660315,3087.1980082989,2891.3645744324,,
125.2,2307.4355626106,2411.9424724579,2574.0673446655,,,,104.8,3249.0928453207,3087.8028571606,2892.4676704407,,
125.88,2307.8200125694,2412.4932193756,2575.3834152222,,,,104.12,3249.56212461,3088.4024918079,2893.5522270203,,
126.56,2308.2044625282,2413.036813736,2576.7109298706,,,,103.44,3250.0314038992,3089.0021264553,2894.6367835999,,
127.24,2308.5978531837,2413.5875606537,2578.053894043,,,,102.76,3250.492861867,3089.6017611027,2895.7120704651,,
127.92,2308.9823031425,2414.1383075714,2579.4088745117,,,,102.08,3250.9621411562,3090.1961815357,2896.7873573303,,
128.6,2309.3667531013,2414.6962070465,2580.7913208008,,,,101.4,3251.4314204454,3090.7906019688,2897.8441047668,,
129.28,2309.7601437569,2415.2469539642,2582.1829223633,,,,100.72,3251.8928784132,3091.3850224018,2898.9008522034,,
129.96,2310.1535344124,2415.8048534393,2583.5928344727,,,,100.04,3252.354336381,3091.9742286205,2899.9483299255,,
130.64,2310.5379843712,2416.3627529144,2585.0210571289,,,,99.36,3252.8157943487,3092.5686490536,2900.9865379334,,
131.32,2310.9313750267,2416.9278049469,2586.467590332,,,,98.68,3253.2772523165,3093.152641058,2902.0247459412,,
132,2311.3247656822,2417.4928569794,2587.9415893555,,,,98,3253.7387102842,3093.7418472767,2903.0444145203,,
132.68,2311.7181563377,2418.0579090118,2589.4247436523,,,,97.32,3254.200168252,3094.3258392811,2904.0733528137,,
133.36,2312.12048769,2418.6229610443,2590.9353637695,,,,96.64,3254.6538048983,3094.9098312855,2905.0837516785,,
134.04,2312.5138783455,2419.1880130768,2592.473449707,,,,95.96,3255.115262866,3095.4938232899,2906.0941505432,,
134.72,2312.907269001,2419.7602176666,2594.020690918,,,,95.28,3255.5688995123,3096.0726010799,2907.0952796936,,
135.4,2313.3096003532,2420.3324222565,2595.6045532227,,,,94.6,3256.0303574801,3096.65137887,2908.0871391296,,
136.08,2313.7029910088,2420.9046268463,2597.2067260742,,,,93.92,3256.4839941263,3097.2301566601,2909.0789985657,2727.73969,
136.76,2314.105322361,2421.4839839935,2598.8363647461,,,,93.24,3256.9376307726,3097.8037202358,2910.0615882874,2732.4685668945,
137.44,2314.5076537132,2422.0633411407,2600.4943847656,,,,92.56,3257.3912674189,3098.3772838116,2911.044178009,2738.5934448242,
138.12,2314.9099850655,2422.642698288,2602.1789550781,,,,91.88,3257.8370827436,3098.9508473873,2912.0174980164,2743.7350463867,
138.8,2315.3123164177,2423.2220554352,2603.8928222656,,,,91.2,3258.2907193899,3099.5244109631,2912.9815483093,2748.2559204102,
